0.000000	0
0.020000	-14093
0.040000	-3327
0.060000	3327
0.080000	14093
0.100000	0
0.120000	-14093
0.140000	-3327
0.160000	3327
0.180000	14093
0.200000	0
0.220000	-14093
0.240000	-3327
0.260000	3327
0.280000	14093
0.300000	0
0.320000	-14093
0.340000	-3327
0.360000	3327
0.380000	14093
0.400000	0
0.420000	-14093
0.440000	-3327
0.460000	3327
0.480000	14093
0.500000	0
0.520000	-14093
0.540000	-3327
0.560000	3327
0.580000	14093
0.600000	0
0.620000	-14093
0.640000	-3327
0.660000	3327
0.680000	14093
0.700000	0
0.720000	-14093
0.740000	-3327
0.760000	3327
0.780000	14093
0.800000	0
0.820000	-14093
0.840000	-3327
0.860000	3327
0.880000	14093
0.900000	0
0.920000	-14093
0.940000	-3327
0.960000	3327
0.980000	14093
1.000000	0
1.020000	-14093
1.040000	-3327
1.060000	3327
1.080000	14093
1.100000	0
1.120000	-14093
1.140000	-3327
1.160000	3327
1.180000	14093
1.200000	0
1.220000	-14093
1.240000	-3327
1.260000	3327
1.280000	14093
1.300000	0
1.320000	-14093
1.340000	-3327
1.360000	3327
1.380000	14093
1.400000	0
1.420000	-14093
1.440000	-3327
1.460000	3327
1.480000	14093
1.500000	0
1.520000	-14093
1.540000	-3327
1.560000	3327
1.580000	14093
1.600000	0
1.620000	-14093
1.640000	-3327
1.660000	3327
1.680000	14093
1.700000	0
1.720000	-14093
1.740000	-3327
1.760000	3327
1.780000	14093
1.800000	0
1.820000	-14093
1.840000	-3327
1.860000	3327
1.880000	14093
1.900000	0
1.920000	-14093
1.940000	-3327
1.960000	3327
1.980000	14093
2.000000	0
2.020000	-14093
2.040000	-3327
2.060000	3327
2.080000	14093
2.100000	0
2.120000	-14093
2.140000	-3327
2.160000	3327
2.180000	14093
2.200000	0
2.220000	-14093
2.240000	-3327
2.260000	3327
2.280000	14093
2.300000	0
2.320000	-14093
2.340000	-3327
2.360000	3327
2.380000	14093
2.400000	0
2.420000	-14093
2.440000	-3327
2.460000	3327
2.480000	14093
2.500000	0
2.520000	-14093
2.540000	-3327
2.560000	3327
2.580000	14093
2.600000	0
2.620000	-14093
2.640000	-3327
2.660000	3327
2.680000	14093
2.700000	0
2.720000	-14093
2.740000	-3327
2.760000	3327
2.780000	14093
2.800000	0
2.820000	-14093
2.840000	-3327
2.860000	3327
2.880000	14093
2.900000	0
2.920000	-14093
2.940000	-3327
2.960000	3327
2.980000	14093
3.000000	0
3.020000	-14093
3.040000	-3327
3.060000	3327
3.080000	14093
3.100000	0
3.120000	-14093
3.140000	-3327
3.160000	3327
3.180000	14093
3.200000	0
3.220000	-14093
3.240000	-3327
3.260000	3327
3.280000	14093
3.300000	0
3.320000	-14093
3.340000	-3327
3.360000	3327
3.380000	14093
3.400000	0
3.420000	-14093
3.440000	-3327
3.460000	3327
3.480000	14093
3.500000	0
3.520000	-14093
3.540000	-3327
3.560000	3327
3.580000	14093
3.600000	0
3.620000	-14093
3.640000	-3327
3.660000	3327
3.680000	14093
3.700000	0
3.720000	-14093
3.740000	-3327
3.760000	3327
3.780000	14093
3.800000	0
3.820000	-14093
3.840000	-3327
3.860000	3327
3.880000	14093
3.900000	0
3.920000	-14093
3.940000	-3327
3.960000	3327
3.980000	14093
4.000000	0
4.020000	-14093
4.040000	-3327
4.060000	3327
4.080000	14093
4.100000	0
4.120000	-14093
4.140000	-3327
4.160000	3327
4.180000	14093
4.200000	0
4.220000	-14093
4.240000	-3327
4.260000	3327
4.280000	14093
4.300000	0
4.320000	-14093
4.340000	-3327
4.360000	3327
4.380000	14093
4.400000	0
4.420000	-14093
4.440000	-3327
4.460000	3327
4.480000	14093
4.500000	0
4.520000	-14093
4.540000	-3327
4.560000	3327
4.580000	14093
4.600000	0
4.620000	-14093
4.640000	-3327
4.660000	3327
4.680000	14093
4.700000	0
4.720000	-14093
4.740000	-3327
4.760000	3327
4.780000	14093
4.800000	0
4.820000	-14093
4.840000	-3327
4.860000	3327
4.880000	14093
4.900000	0
4.920000	-14093
4.940000	-3327
4.960000	3327
4.980000	14093
5.000000	0
5.020000	-14093
5.040000	-3327
5.060000	3327
5.080000	14093
5.100000	0
5.120000	-14093
5.140000	-3327
5.160000	3327
5.180000	14093
5.200000	0
5.220000	-14093
5.240000	-3327
5.260000	3327
5.280000	14093
5.300000	0
5.320000	-14093
5.340000	-3327
5.360000	3327
5.380000	14093
5.400000	0
5.420000	-14093
5.440000	-3327
5.460000	3327
5.480000	14093
5.500000	0
5.520000	-14093
5.540000	-3327
5.560000	3327
5.580000	14093
5.600000	0
5.620000	-14093
5.640000	-3327
5.660000	3327
5.680000	14093
5.700000	0
5.720000	-14093
5.740000	-3327
5.760000	3327
5.780000	14093
5.800000	0
5.820000	-14093
5.840000	-3327
5.860000	3327
5.880000	14093
5.900000	0
5.920000	-14093
5.940000	-3327
5.960000	3327
5.980000	14093
